Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,4.5,,PT,SI_COV_BENFTS
2016,4.4,,PT,SI_COV_BENFTS
2017,4.2,,PT,SI_COV_BENFTS
2018,4.0,,PT,SI_COV_BENFTS
2019,3.3,,PT,SI_COV_BENFTS
2020,3.2,,PT,SI_COV_BENFTS
2021,2.9,,PT,SI_COV_BENFTS
2022,2.8,,PT,SI_COV_BENFTS
2015,0.4,,PT,SI_COV_DISAB
2016,0.4,,PT,SI_COV_DISAB
2017,0.4,,PT,SI_COV_DISAB
2018,0.4,,PT,SI_COV_DISAB
2019,0.3,,PT,SI_COV_DISAB
2020,0.3,,PT,SI_COV_DISAB
2021,0.3,,PT,SI_COV_DISAB
2022,0.3,,PT,SI_COV_DISAB
2018,78.3,,PT,SI_COV_PENSN
2019,63.0,,PT,SI_COV_PENSN
2020,57.3,,PT,SI_COV_PENSN
2021,56.4,,PT,SI_COV_PENSN
2022,55.9,,PT,SI_COV_PENSN
2024,91.0,,PT,SI_COV_PENSN
